date,site,survey,plot,in,on,next,bare_rock,treatment,wave_exposure,total,percent_cover_barnacles,notes
Oct-16-2021,Brady_point,1,1,12,0,40,1,Cleared,Exposed,53,84,
Oct-16-2021,Brady_point,1,2,17,9,21,1,Cleared,Exposed,48,60.5,
Oct-16-2021,Brady_point,1,3,5,25,36,0,Control,Exposed,66,80.5,
Oct-16-2021,Brady_point,1,4,0,13,61,4,Cleared,Exposed,78,77.5,
Oct-16-2021,Brady_point,1,5,4,24,64,1,Control,Exposed,93,79.5,
Oct-16-2021,Brady_point,1,6,5,9,58,5,Cleared,Exposed,77,64,
Oct-16-2021,Brady_point,1,7,3,9,63,7,Mass_Mortality,Exposed,82,55,
Oct-16-2021,Brady_point,1,8,1,4,27,1,Control,Exposed,33,42.5,
Oct-16-2021,Brady_point,1,9,5,3,43,1,Mass_Mortality,Exposed,52,51,
Oct-16-2021,Brady_point,1,10,2,9,69,0,Control,Exposed,80,82.5,
Oct-16-2021,Brady_point,1,11,6,5,29,1,Mass_Mortality,Exposed,41,54.5,
Oct-16-2021,Brady_point,1,12,13,9,49,1,Mass_Mortality,Exposed,72,62,
Oct-17-2021,Scotts_bay,1,1,7,16,26,0,Cleared,Exposed,49,68.5,
Oct-17-2021,Scotts_bay,1,2,2,19,22,2,Mass_Mortality,Exposed,45,87.5,
Oct-17-2021,Scotts_bay,1,3,6,19,28,0,Control,Exposed,53,76.5,
Oct-17-2021,Scotts_bay,1,4,16,38,36,2,Cleared,Exposed,92,71,
Oct-17-2021,Scotts_bay,1,5,7,33,18,2,Mass_Mortality,Exposed,60,83.5,
Oct-17-2021,Scotts_bay,1,6,7,65,12,4,Control,Exposed,88,75.5,
Oct-17-2021,Scotts_bay,1,7,15,53,34,1,Mass_Mortality,Exposed,103,73,
Oct-17-2021,Scotts_bay,1,8,17,78,84,3,Mass_Mortality,Exposed,182,68,
Oct-17-2021,Scotts_bay,1,9,11,61,20,3,Cleared,Exposed,95,70,
Oct-17-2021,Scotts_bay,1,10,24,55,22,2,Cleared,Exposed,103,71.5,
Oct-17-2021,Scotts_bay,1,11,3,13,22,0,Control,Exposed,38,72.5,
Oct-17-2021,Scotts_bay,1,12,16,49,86,6,Control,Exposed,157,62,
Oct-23-2021,Rance_island,1,1,2,0,6,1,Control,Sheltered,9,20.5,
Oct-23-2021,Rance_island,1,2,2,1,21,9,Cleared,Sheltered,33,18,3 photos
Oct-23-2021,Rance_island,1,3,1,2,27,1,Cleared,Sheltered,31,25,This is the second photo set on the camera role as it was plot two the changed to plot 3
Oct-23-2021,Rance_island,1,4,5,0,1,2,Control,Sheltered,8,20,
Oct-23-2021,Rance_island,1,5,2,4,9,2,Mass_Mortality,Sheltered,17,41,
Oct-23-2021,Rance_island,1,6,3,1,16,8,Cleared,Sheltered,28,20.5,
Oct-23-2021,Rance_island,1,7,1,3,10,4,Cleared,Sheltered,18,15.5,"three photos taken, photos show yellow in corner not there, 1 down from normal?"
Oct-23-2021,Rance_island,1,8,3,3,9,5,Mass_Mortality,Sheltered,20,29,Vertical plot
Oct-23-2021,Rance_island,1,9,7,6,18,6,Mass_Mortality,Sheltered,37,20.5,Treatment not written down
Oct-23-2021,Rance_island,1,10,0,0,14,1,Cleared,Sheltered,15,16.5,
Oct-23-2021,Rance_island,1,11,5,2,15,1,Mass_Mortality,Sheltered,23,20.5,Treatment not written down
Oct-23-2021,Rance_island,1,12,7,13,39,8,Control,Sheltered,67,34,
Oct-24-2021,Strawberry_point,1,1,7,8,23,6,Mass_Mortality,Sheltered,44,25.5,
Oct-24-2021,Strawberry_point,1,2,5,1,15,3,Cleared,Sheltered,24,21.5,
Oct-24-2021,Strawberry_point,1,3,3,0,3,2,Control,Sheltered,8,17,"We have two sites labeled as ""site 3"", we will need to compare photos to figure this out"
Oct-24-2021,Strawberry_point,1,4,7,1,8,1,Control,Sheltered,17,42,
Oct-24-2021,Strawberry_point,1,5,15,0,2,0,Control,Sheltered,17,29.5,
Oct-24-2021,Strawberry_point,1,6,3,0,2,0,Cleared,Sheltered,5,38,
Oct-24-2021,Strawberry_point,1,7,3,0,2,0,Mass_Mortality,Sheltered,5,21.5,
Oct-24-2021,Strawberry_point,1,8,1,0,10,2,Control,Sheltered,13,12.5,
Oct-24-2021,Strawberry_point,1,9,20,2,20,2,Cleared,Sheltered,44,34,Vertical sitting of the quadrat and tilted to a diamond and not square
Oct-24-2021,Strawberry_point,1,10,2,0,9,0,Mass_Mortality,Sheltered,11,24.5,Far last plot towards the mouth of the inlet
Oct-24-2021,Strawberry_point,1,11,1,0,7,0,Mass_Mortality,Sheltered,8,18,2nd one in from the left
Oct-24-2021,Strawberry_point,1,12,11,0,12,3,Cleared,Sheltered,26,15.5,First plot of the transect: Shot with yellow in the middle
Oct-30-2021,Brady_point,2,1,0,0,0,12,Cleared,Exposed,12,,
Oct-30-2021,Brady_point,2,2,0,0,0,7,Cleared,Exposed,7,,
Oct-30-2021,Brady_point,2,3,9,44,38,0,Control,Exposed,91,,photo taken is off the paint is not quite in the right place but we can figure it out
Oct-30-2021,Brady_point,2,4,0,0,0,5,Cleared,Exposed,5,,
Oct-30-2021,Brady_point,2,5,14,21,80,0,Control,Exposed,115,,
Oct-30-2021,Brady_point,2,6,0,0,0,32,Cleared,Exposed,32,,Groove present where snails mostly found
Oct-30-2021,Brady_point,2,7,35,13,52,6,Mass_Mortality,Exposed,106,,
Oct-30-2021,Brady_point,2,8,1,12,87,4,Control,Exposed,104,,
Oct-30-2021,Brady_point,2,9,41,11,37,34,Mass_Mortality,Exposed,123,,
Oct-30-2021,Brady_point,2,10,5,21,67,7,Control,Exposed,100,,
Oct-30-2021,Brady_point,2,11,34,4,36,0,Mass_Mortality,Exposed,74,,"Site was poorly Mass_Mortalityed first time around -Carter Mass_Mortalityed the rest on second week, Second set of photos is plot 11"
Oct-30-2021,Brady_point,2,12,67,1,33,0,Mass_Mortality,Exposed,101,,1st photo in Carters Phone is plot 12
Oct-30-2021,Scotts_bay,2,1,0,0,0,3,Cleared,Exposed,3,,
Oct-30-2021,Scotts_bay,2,2,36,4,22,0,Mass_Mortality,Exposed,62,,
Oct-30-2021,Scotts_bay,2,3,2,10,34,0,Control,Exposed,46,,
Oct-30-2021,Scotts_bay,2,4,0,0,3,6,Cleared,Exposed,9,,
Oct-30-2021,Scotts_bay,2,5,24,9,15,0,Mass_Mortality,Exposed,48,,
Oct-30-2021,Scotts_bay,2,6,7,7,31,0,Control,Exposed,45,,
Oct-30-2021,Scotts_bay,2,7,65,17,46,3,Mass_Mortality,Exposed,131,,
Oct-30-2021,Scotts_bay,2,8,112,13,78,1,Mass_Mortality,Exposed,204,,
Oct-30-2021,Scotts_bay,2,9,0,0,5,9,Cleared,Exposed,14,,
Oct-30-2021,Scotts_bay,2,10,0,0,0,3,Cleared,Exposed,3,,
Oct-30-2021,Scotts_bay,2,11,5,7,18,0,Control,Exposed,30,,
Oct-30-2021,Scotts_bay,2,12,20,20,82,8,Control,Exposed,130,,
Nov-6-2021,Rance_island,2,1,0,1,3,1,Control,Sheltered,5,,
Nov-6-2021,Rance_island,2,2,0,0,0,7,Cleared,Sheltered,7,,Crevice present where most snails found
Nov-6-2021,Rance_island,2,3,0,0,0,2,Cleared,Sheltered,2,,
Nov-6-2021,Rance_island,2,4,4,8,9,4,Control,Sheltered,25,,Crevice present where most snails found outside barnacle tests (9 in total)
Nov-6-2021,Rance_island,2,5,34,2,0,0,Mass_Mortality,Sheltered,36,,
Nov-6-2021,Rance_island,2,6,0,0,0,0,Cleared,Sheltered,0,,
Nov-6-2021,Rance_island,2,7,0,0,0,5,Cleared,Sheltered,5,,
Nov-6-2021,Rance_island,2,8,26,7,10,0,Mass_Mortality,Sheltered,43,,All 10 next found in crevice
Nov-6-2021,Rance_island,2,9,23,1,11,4,Mass_Mortality,Sheltered,39,,
Nov-6-2021,Rance_island,2,10,0,0,0,0,Cleared,Sheltered,0,,
Nov-6-2021,Rance_island,2,11,29,7,0,1,Mass_Mortality,Sheltered,37,,
Nov-6-2021,Rance_island,2,12,5,3,12,0,Control,Sheltered,20,,
Nov-6-2021,Strawberry_point,2,1,28,2,1,0,Mass_Mortality,Sheltered,31,,
Nov-6-2021,Strawberry_point,2,2,0,0,0,0,Cleared,Sheltered,0,,
Nov-6-2021,Strawberry_point,2,3,5,0,5,5,Control,Sheltered,15,,
Nov-6-2021,Strawberry_point,2,4,7,3,7,1,Control,Sheltered,18,,
Nov-6-2021,Strawberry_point,2,5,14,0,7,0,Control,Sheltered,21,,
Nov-6-2021,Strawberry_point,2,6,0,0,0,0,Cleared,Sheltered,0,,
Nov-6-2021,Strawberry_point,2,7,14,0,2,0,Mass_Mortality,Sheltered,16,,
Nov-6-2021,Strawberry_point,2,8,2,0,8,3,Control,Sheltered,13,,
Nov-6-2021,Strawberry_point,2,9,0,0,0,7,Cleared,Sheltered,7,,Crevice present where most snails found
Nov-6-2021,Strawberry_point,2,10,7,0,0,0,Mass_Mortality,Sheltered,7,,
Nov-6-2021,Strawberry_point,2,11,13,0,5,1,Mass_Mortality,Sheltered,19,,
Nov-6-2021,Strawberry_point,2,12,0,0,0,2,Cleared,Sheltered,2,,
Nov-13-2021,Brady_point,3,1,0,0,0,2,Cleared,Exposed,2,,
Nov-13-2021,Brady_point,3,2,0,0,0,1,Cleared,Exposed,1,,next to two limpets
Nov-13-2021,Brady_point,3,3,14,16,35,1,Control,Exposed,66,,
Nov-13-2021,Brady_point,3,4,0,0,0,0,Cleared,Exposed,0,,
Nov-13-2021,Brady_point,3,5,22,15,40,0,Control,Exposed,77,,
Nov-13-2021,Brady_point,3,6,0,0,0,13,Cleared,Exposed,13,,11 in a crevice
Nov-13-2021,Brady_point,3,7,85,8,24,11,Mass_Mortality,Exposed,128,,
Nov-13-2021,Brady_point,3,8,4,9,75,1,Control,Exposed,89,,
Nov-13-2021,Brady_point,3,9,53,2,35,0,Mass_Mortality,Exposed,90,,First 10 were all under one crevice
Nov-13-2021,Brady_point,3,10,8,7,36,1,Control,Exposed,52,,
Nov-13-2021,Brady_point,3,11,47,6,9,1,Mass_Mortality,Exposed,63,,
Nov-13-2021,Brady_point,3,12,39,2,8,0,Mass_Mortality,Exposed,49,,
Nov-13-2021,Scotts_bay,3,1,0,0,0,2,Cleared,Exposed,2,,
Nov-13-2021,Scotts_bay,3,2,77,7,21,0,Mass_Mortality,Exposed,105,,
Nov-13-2021,Scotts_bay,3,3,2,11,35,2,Control,Exposed,50,,
Nov-13-2021,Scotts_bay,3,4,0,0,0,5,Cleared,Exposed,5,,
Nov-13-2021,Scotts_bay,3,5,22,4,14,2,Mass_Mortality,Exposed,42,,
Nov-13-2021,Scotts_bay,3,6,7,11,44,0,Control,Exposed,62,,
Nov-13-2021,Scotts_bay,3,7,103,14,39,3,Mass_Mortality,Exposed,159,,
Nov-13-2021,Scotts_bay,3,8,57,8,73,2,Mass_Mortality,Exposed,140,,
Nov-13-2021,Scotts_bay,3,9,0,0,0,15,Cleared,Exposed,15,,
Nov-13-2021,Scotts_bay,3,10,0,0,0,12,Cleared,Exposed,12,,
Nov-13-2021,Scotts_bay,3,11,9,4,19,1,Control,Exposed,33,,
Nov-13-2021,Scotts_bay,3,12,8,5,41,0,Control,Exposed,54,,
Nov-20-2021,Rance_island,3,1,0,0,8,5,Control,Sheltered,13,,
Nov-20-2021,Rance_island,3,2,0,0,0,5,Cleared,Sheltered,5,,Found out this was a clear not a control
Nov-20-2021,Rance_island,3,3,0,0,0,4,Cleared,Sheltered,4,,
Nov-20-2021,Rance_island,3,4,6,8,22,11,Control,Sheltered,47,,
Nov-20-2021,Rance_island,3,5,50,7,5,1,Mass_Mortality,Sheltered,63,,
Nov-20-2021,Rance_island,3,6,0,0,0,3,Cleared,Sheltered,3,,
Nov-20-2021,Rance_island,3,7,0,0,0,13,Cleared,Sheltered,13,,
Nov-20-2021,Rance_island,3,8,26,1,18,21,Mass_Mortality,Sheltered,66,,
Nov-20-2021,Rance_island,3,9,40,2,10,5,Mass_Mortality,Sheltered,57,,
Nov-20-2021,Rance_island,3,10,0,0,0,1,Cleared,Sheltered,1,,
Nov-20-2021,Rance_island,3,11,19,0,16,0,Mass_Mortality,Sheltered,35,,
Nov-20-2021,Rance_island,3,12,4,12,21,10,Control,Sheltered,47,,
Nov-20-2021,Strawberry_point,3,1,42,30,24,12,Mass_Mortality,Sheltered,108,,
Nov-20-2021,Strawberry_point,3,2,0,0,0,6,Cleared,Sheltered,6,,
Nov-20-2021,Strawberry_point,3,3,2,12,13,17,Control,Sheltered,44,,
Nov-20-2021,Strawberry_point,3,4,2,11,9,8,Control,Sheltered,30,,
Nov-20-2021,Strawberry_point,3,5,5,15,11,13,Control,Sheltered,44,,
Nov-20-2021,Strawberry_point,3,6,0,0,0,3,Cleared,Sheltered,3,,
Nov-20-2021,Strawberry_point,3,7,11,11,14,1,Mass_Mortality,Sheltered,37,,
Nov-20-2021,Strawberry_point,3,8,0,7,7,7,Control,Sheltered,21,,
Nov-20-2021,Strawberry_point,3,9,0,0,0,6,Cleared,Sheltered,6,,
Nov-20-2021,Strawberry_point,3,10,9,0,1,0,Mass_Mortality,Sheltered,10,,
Nov-20-2021,Strawberry_point,3,11,35,14,12,12,Mass_Mortality,Sheltered,73,,
Nov-20-2021,Strawberry_point,3,12,0,0,0,2,Cleared,Sheltered,2,,
Jun-12-2022,Brady_point,4,1,0,0,1,8,Cleared,Exposed,9,,
Jun-12-2022,Brady_point,4,2,0,0,2,6,Cleared,Exposed,8,,
Jun-12-2022,Brady_point,4,3,0,22,17,0,Control,Exposed,39,,
Jun-12-2022,Brady_point,4,4,0,0,0,1,Cleared,Exposed,1,DOUBLE CHECK THIS PLOT,
Jun-12-2022,Brady_point,4,5,NA,NA,NA,NA,Control,Exposed,0,couldn’t find - too much fucus growth,
Jun-12-2022,Brady_point,4,6,0,0,10,9,Cleared,Exposed,19,,
Jun-12-2022,Brady_point,4,7,3,9,24,1,Mass_Mortality,Exposed,37,but now mostly cleared,
Jun-12-2022,Brady_point,4,8,3,19,24,1,Control,Exposed,47,,
Jun-12-2022,Brady_point,4,9,1,5,19,1,Mass_Mortality,Exposed,26,now mostly cleared (no empty ones were seen),
Jun-12-2022,Brady_point,4,10,NA,NA,NA,NA,Control,Exposed,0,Too much fucus to count,
Jun-12-2022,Brady_point,4,11,12,0,13,3,Mass_Mortality,Exposed,28,mostly cleared but some fucus cover on the plot,
Jun-12-2022,Brady_point,4,12,4,1,11,2,Mass_Mortality,Exposed,18,mostly cleared - 3 empty tests left,
Jun-12-2022,Scotts_bay,4,1,0,0,2,2,Cleared,Exposed,4,,
Jun-12-2022,Scotts_bay,4,2,8,13,26,1,Mass_Mortality,Exposed,48,mostly cleared - 1ish empty tests,
Jun-12-2022,Scotts_bay,4,3,NA,NA,NA,NA,Control,Exposed,0,heavily covered with fucus (2 photos),
Jun-12-2022,Scotts_bay,4,4,0,0,4,17,Cleared,Exposed,21,,
Jun-12-2022,Scotts_bay,4,5,3,24,26,8,Mass_Mortality,Exposed,61,,
Jun-12-2022,Scotts_bay,4,6,8,17,40,0,Control,Exposed,65,,
Jun-12-2022,Scotts_bay,4,7,5,5,43,2,Mass_Mortality,Exposed,55,,
Jun-12-2022,Scotts_bay,4,8,1,7,33,2,Mass_Mortality,Exposed,43,,
Jun-12-2022,Scotts_bay,4,9,0,0,0,1,Cleared,Exposed,1,,
Jun-12-2022,Scotts_bay,4,10,0,0,8,11,Cleared,Exposed,19,,
Jun-12-2022,Scotts_bay,4,11,4,38,26,0,Control,Exposed,68,,
Jun-12-2022,Scotts_bay,4,12,NA,NA,NA,NA,Control,Exposed,0,heavily covered with fucus (photo),
Jun-10-2022,Rance_island,4,1,0,5,8,4,Control,Sheltered,17,,
Jun-10-2022,Rance_island,4,2,0,0,0,3,Cleared,Sheltered,3,,
Jun-10-2022,Rance_island,4,3,0,0,0,1,Cleared,Sheltered,1,,
Jun-10-2022,Rance_island,4,4,1,6,3,1,Control,Sheltered,11,,
Jun-10-2022,Rance_island,4,5,36,2,1,0,Mass_Mortality,Sheltered,39,,
Jun-10-2022,Rance_island,4,6,0,0,0,1,Cleared,Sheltered,1,,
Jun-10-2022,Rance_island,4,7,0,0,0,15,Cleared,Sheltered,15,,
Jun-10-2022,Rance_island,4,8,12,2,15,8,Mass_Mortality,Sheltered,37,,
Jun-10-2022,Rance_island,4,9,35,3,10,10,Mass_Mortality,Sheltered,58,,
Jun-10-2022,Rance_island,4,10,0,0,0,1,Cleared,Sheltered,1,,
Jun-10-2022,Rance_island,4,11,13,6,9,2,Mass_Mortality,Sheltered,30,,
Jun-10-2022,Rance_island,4,12,0,5,11,1,Control,Sheltered,17,,
Jun-10-2022,Strawberry_point,4,1,7,0,1,0,Mass_Mortality,Sheltered,8,Worst deterioration of sheltered plots,
Jun-10-2022,Strawberry_point,4,2,0,0,2,0,Cleared,Sheltered,2,,
Jun-10-2022,Strawberry_point,4,3,2,0,7,1,Control,Sheltered,10,,
Jun-10-2022,Strawberry_point,4,4,3,0,4,1,Control,Sheltered,8,has been hit by something removing some barnacles,
Jun-10-2022,Strawberry_point,4,5,3,1,8,2,Control,Sheltered,14,,
Jun-10-2022,Strawberry_point,4,6,0,0,0,4,Cleared,Sheltered,4,all in same crevice,
Jun-10-2022,Strawberry_point,4,7,7,0,3,1,Mass_Mortality,Sheltered,11,,
Jun-10-2022,Strawberry_point,4,8,1,1,4,0,Control,Sheltered,6,,
Jun-10-2022,Strawberry_point,4,9,0,0,0,0,Cleared,Sheltered,0,,
Jun-10-2022,Strawberry_point,4,10,3,0,0,0,Mass_Mortality,Sheltered,3,,
Jun-10-2022,Strawberry_point,4,11,15,1,0,2,Mass_Mortality,Sheltered,18,,
Jun-10-2022,Strawberry_point,4,12,0,0,0,1,Cleared,Sheltered,1,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,