Rock_ID,Barnacle_width_mm,Barnacle_length_mm,Treatment,Dislodgement_force_N,Notes
J,9.1,10.5,Live,39,
J,6.1,6.9,Live,33,
J,6.7,7,Live,7,
J,8.1,8.9,Live,20,
J,7.3,8.1,Live,20,
I,8,8.5,Live,24,
I,7.1,8.5,Live,18,
I,8.4,9.8,Live,23,
I ,8.3,8.8,Live,23,
I,10,9.8,Live,22,
M,9.1,8.9,Live,20,
M,6.7,8.3,Live,14,
M,11.3,12.1,Live,22,
M,7.9,10.1,Live,18,
L,9.9,9.1,Live,29,
L,8.6,9.4,Live,16,
L,9.9,10.1,Live,34,
K,11.8,11.9,Live,26,
K,7.1,6.8,Live,19,
K,7.9,6.5,Live,13,
C,10.5,11.7,Live,31,
C,7.9,9.2,Live,23,
C,8.1,10.4,Live,17,
D,10.5,10.4,Live,50,
D,7.6,7.2,Live,18,
D,8.3,9.6,Live,22,
E,8.2,9.5,Live,55,Greater than 55
E,6.9,7.3,Live,18,
F,7.9,8,Live,26,
F,7.2,8.1,Live,21,
J,10.3,10.2,30_plus_day_dead,34,
J,6.1,7.1,30_plus_day_dead,5,
J,6.7,6.6,30_plus_day_dead,4,
J,7.4,9,30_plus_day_dead,4,
J,6.2,6.7,30_plus_day_dead,10,
I,8.1,9,30_plus_day_dead,4,
I,8.9,10,30_plus_day_dead,9,
I,6.8,9,30_plus_day_dead,3,
I,6.2,7.6,30_plus_day_dead,8,
M,5.1,6.1,30_plus_day_dead,3,
M,9.2,9.2,30_plus_day_dead,6,
M,5.1,7.1,30_plus_day_dead,4,
M,10.1,10.1,30_plus_day_dead,12,
L,8.1,10.5,30_plus_day_dead,1,
K,10,11.1,30_plus_day_dead,8,
K,10.3,11,30_plus_day_dead,8,
K,12.1,13.2,30_plus_day_dead,6,
K,7.1,7.1,30_plus_day_dead,3,
C,8.5,10,30_plus_day_dead,14,pull 3 times because slipped off as small
C,8.7,10.3,30_plus_day_dead,3,
C,9.9,10,30_plus_day_dead,21,
D,7,8.3,30_plus_day_dead,4,
D,6,6.5,30_plus_day_dead,5,
D,7.3,8.3,30_plus_day_dead,15,
E,6.9,7.5,30_plus_day_dead,23,
E,4.8,5,30_plus_day_dead,15,
F,7.3,8.3,30_plus_day_dead,11,
F,6.4,6,30_plus_day_dead,18,
F,7.4,6,30_plus_day_dead,11,
H,7.7,7.8,30_plus_day_dead,2,
H,8.9,10,30_plus_day_dead,12,
H,8.1,8.1,30_plus_day_dead,43,
J,7.1,7.4,30_day_dead,29,
J,7.3,7.6,30_day_dead,23,
J,8.4,8.1,30_day_dead,28,
J,7.1,7.8,30_day_dead,14,
J,7.7,7.3,30_day_dead,18,
I,7.5,8.8,30_day_dead,55,
I,8,8.8,30_day_dead,15,Greater than 55
I,7,8.1,30_day_dead,18,
I,8.7,8.9,30_day_dead,27,
I,8.1,8.6,30_day_dead,22,
M,11.7,11.2,30_day_dead,27,
M,11.3,11.2,30_day_dead,28,
M,10,10.7,30_day_dead,9,
M,7.7,8.1,30_day_dead,14,
L,8.9,8.5,30_day_dead,8,
K,8.9,9.8,30_day_dead,6,
K,8.8,10.3,30_day_dead,9,
C,11.1,11.9,30_day_dead,19,
C,11,11,30_day_dead,42,
C,6.1,6.8,30_day_dead,11,
D,12.5,11.6,30_day_dead,42,
D,10,11.1,30_day_dead,54,
D,10.5,11.2,30_day_dead,44,
E,7.3,8.2,30_day_dead,48,
E,11,11.8,30_day_dead,41,
E,7.4,7.6,30_day_dead,32,
E,7.5,8.1,30_day_dead,8,
F,9,8.5,30_day_dead,24,
F,8.9,8.9,30_day_dead,29,
F,7.3,7.5,30_day_dead,9,
H,10.1,10.6,30_day_dead,16,
H,7.2,7.3,30_day_dead,8,
H,9.1,9.3,30_day_dead,20,
H,12.4,13,Live,52,
H,10.1,12.5,Live,55,Greater than 55
J,8.3,8.8,3_day_dead,22,
J,6.2,7.8,3_day_dead,10,
J,8.1,9.3,3_day_dead,53,
J,7.4,10,3_day_dead,41,
J,6.6,7.8,3_day_dead,5,
I,8.2,8,3_day_dead,6,
I,6,7.5,3_day_dead,13,
I,6.8,7.5,3_day_dead,23,
I,7.4,9.3,3_day_dead,39,
L,11.2,11.9,3_day_dead,19,
L,7.9,9,3_day_dead,20,
M,8.1,10.1,3_day_dead,8,
M,6.6,8.1,3_day_dead,14,
M,11.2,12.2,3_day_dead,55,Greater than 55
M,8,8.6,3_day_dead,25,
K,6.6,7.7,3_day_dead,15,
K,8.1,6.9,3_day_dead,12,
K,7.6,7.8,3_day_dead,6,
K,7,8.5,3_day_dead,18,
C,7.8,9.7,3_day_dead,21,
C,6.8,8.1,3_day_dead,15,
C,7,7,3_day_dead,31,
C,8,9.1,3_day_dead,9,
D,6.9,7.3,3_day_dead,20,
D,12.5,11.5,3_day_dead,31,Chipped at base
D,9.4,9.1,3_day_dead,26,
D,8.1,10.1,3_day_dead,31,
E,7.5,7.5,3_day_dead,35,
E,8.6,10.2,3_day_dead,38,
E,7.5,8.4,3_day_dead,51,
F,7.5,7.7,3_day_dead,30,
F,6.2,7.1,3_day_dead,17,